Target gene,Representative transcript,Gene name,3P-seq tags + 5,Conserved sites total,Conserved 8mer sites,Conserved 7mer-m8 sites,Conserved 7mer-A1 sites,Poorly conserved sites total,Poorly conserved 8mer sites,Poorly conserved 7mer-m8 sites,Poorly conserved 7mer-A1 sites,6mer sites,Representative miRNA,Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
Klf12,ENSMUST00000097079.4,Kruppel-like factor 12 ,363,3,2,0,1,0,0,0,0,5,mmu-miR-141-3p,-0.83,-0.91,0.96,"2005, 2007, 2009, 2011
"
Dr1,ENSMUST00000031190.4,down-regulator of transcription 1 ,770,1,1,0,0,1,0,0,1,1,mmu-miR-141-3p,-0.71,-0.72,0.73,"2005, 2007, 2009, 2011
"
Tm4sf1,ENSMUST00000171384.2,transmembrane 4 superfamily member 1 ,1885,1,0,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.62,-0.62,0.59,"2005, 2007, 2009, 2011
"
Zeb2,ENSMUST00000068415.5,zinc finger E-box binding homeobox 2 ,1218,2,2,0,0,2,0,2,0,0,mmu-miR-141-3p,-0.58,-0.6,0.92,"2007, 2009, 2011
"
Brms1l,ENSMUST00000059250.6,breast cancer metastasis-suppressor 1-like ,799,1,0,0,1,2,0,2,0,3,mmu-miR-141-3p,-0.55,-0.59,0.34,"2005, 2007, 2009, 2011
"
3830406C13Rik,ENSMUST00000112669.4,RIKEN cDNA 3830406C13 gene ,1195,1,1,0,0,1,1,0,0,0,mmu-miR-141-3p,-0.55,-0.78,0.8,"2009, 2011
"
Wibg,ENSMUST00000163377.3,within bgcn homolog (Drosophila) ,94,2,0,2,0,0,0,0,0,0,mmu-miR-200a-3p,-0.54,-0.54,0.6,"2007, 2011
"
Ifrd1,ENSMUST00000001672.6,interferon-related developmental regulator 1 ,273,1,1,0,0,0,0,0,0,2,mmu-miR-141-3p,-0.54,-0.55,< 0.1,"2005, 2007, 2009, 2011
"
Dmwd,ENSMUST00000032570.8,dystrophia myotonica-containing WD repeat motif ,1341,1,1,0,0,1,0,0,1,0,mmu-miR-141-3p,-0.53,-0.53,0.5,"2007, 2009, 2011
"
Fus,ENSMUST00000106251.4,fused in sarcoma ,5428,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.52,-0.52,0.63,"2005, 2007, 2009, 2011
"
Arl5b,ENSMUST00000069870.4,ADP-ribosylation factor-like 5B ,451,1,0,1,0,2,1,1,0,3,mmu-miR-141-3p,-0.52,-0.56,0.37,"2007, 2009, 2011
"
Yaf2,ENSMUST00000080299.6,YY1 associated factor 2 ,1098,1,1,0,0,1,0,1,0,4,mmu-miR-141-3p,-0.51,-0.77,0.88,"2005, 2007, 2009, 2011
"
